  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
171160 99999 201005010600 320   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   54   46 1016.2 ***** 1004.2 ***  42 ***** ***** *****  0.00 **
171160 99999 201005010900 230   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   63   47 1016.1 ***** 1004.1 *** *** ***** ***** ***** ***** **
171160 99999 201005011200 310  10 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   68   44 1014.9 ***** 1002.9 *** *** *****  0.00 ***** ***** **
171160 99999 201005011500 300   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   67   46 1014.4 ***** 1002.4 *** *** ***** ***** ***** ***** **
171160 99999 201005011800 210   6 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   58   47 1015.3 ***** 1003.3  69 *** ***** ***** *****  0.00 **
171160 99999 201005020600 010   2 *** 722 SCT 0 3 0  6.2 ** ** ** ** ** ** ** ** *   51   50 1017.5 ***** 1005.4 ***  44 ***** ***** *****  0.00 **
171160 99999 201005020700 240   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   54   50 1017.4 ***** 1005.3 *** *** ***** ***** ***** ***** **
171160 99999 201005020800 270   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   57   50 1017.4 ***** 1005.4 *** *** ***** ***** ***** ***** **
171160 99999 201005020900 260   5 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   61   49 1017.0 ***** 1005.0 *** *** ***** ***** ***** ***** **
171160 99999 201005021000 250   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   65   48 1016.4 ***** 1004.4 *** *** ***** ***** ***** ***** **
171160 99999 201005021100 260   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   68   48 1015.9 ***** 1004.0 *** *** ***** ***** ***** ***** **
171160 99999 201005021200 320   9 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   68   52 1015.8 ***** 1003.8 *** *** *****  0.00 ***** ***** **
171160 99999 201005021300 330   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   69   46 1015.3 ***** 1003.3 *** *** ***** ***** ***** ***** **
171160 99999 201005021400 330   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   71   43 1015.0 ***** 1003.0 *** *** ***** ***** ***** ***** **
171160 99999 201005021500 320   8 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   67   47 1014.8 ***** 1002.8 *** *** ***** ***** ***** ***** **
171160 99999 201005021800 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   58   48 1014.6 ***** 1002.6  71 *** ***** ***** *****  0.00 **
171160 99999 201005022100 290   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   52   46 1015.5 ***** 1003.5 *** *** ***** ***** ***** ***** **
171160 99999 201005030000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   46   45 1015.7 ***** 1003.7 *** *** *****  0.00 ***** ***** **
171160 99999 201005030300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   44   43 1015.8 ***** 1003.8 *** *** ***** ***** ***** ***** **
171160 99999 201005030600 050   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   57   48 1016.0 ***** 1004.0 ***  43 ***** ***** *****  0.00 **
